CMDLINE /home/nvremort/miniconda3/envs/mypythonenv/bin/python3.14 profiling_decorator.py
MEM 34.550781 1773829262.4136
MEM 34.550781 1773829262.5140
MEM 34.550781 1773829262.6143
MEM 34.550781 1773829262.7146
MEM 34.550781 1773829262.8151
MEM 34.550781 1773829262.9154
MEM 34.550781 1773829263.0158
MEM 34.550781 1773829263.1162
MEM 34.550781 1773829263.2165
MEM 34.550781 1773829263.3169
MEM 34.550781 1773829263.4173
MEM 34.550781 1773829263.5176
MEM 34.550781 1773829263.6180
MEM 34.550781 1773829263.7183
MEM 34.550781 1773829263.8187
MEM 34.550781 1773829263.9192
MEM 34.550781 1773829264.0195
MEM 34.550781 1773829264.1199
MEM 34.550781 1773829264.2203
MEM 34.550781 1773829264.3206
MEM 34.550781 1773829264.4210
MEM 34.550781 1773829264.5213
MEM 34.550781 1773829264.6217
MEM 34.550781 1773829264.7220
MEM 34.550781 1773829264.8224
MEM 34.550781 1773829264.9227
MEM 34.550781 1773829265.0230
MEM 34.550781 1773829265.1234
MEM 34.550781 1773829265.2238
MEM 34.550781 1773829265.3242
MEM 34.550781 1773829265.4246
MEM 34.550781 1773829265.5249
MEM 34.550781 1773829265.6252
MEM 34.550781 1773829265.7256
MEM 34.550781 1773829265.8260
MEM 34.550781 1773829265.9263
MEM 34.550781 1773829266.0265
MEM 34.550781 1773829266.1270
MEM 34.550781 1773829266.2274
MEM 34.550781 1773829266.3278
MEM 34.550781 1773829266.4282
MEM 34.550781 1773829266.5286
MEM 34.550781 1773829266.6290
MEM 34.550781 1773829266.7293
MEM 34.550781 1773829266.8298
MEM 34.550781 1773829266.9303
MEM 34.550781 1773829267.0307
MEM 34.550781 1773829267.1312
MEM 34.550781 1773829267.2316
MEM 34.550781 1773829267.3320
MEM 34.550781 1773829267.4324
MEM 34.550781 1773829267.5328
MEM 34.550781 1773829267.6332
MEM 34.550781 1773829267.7335
MEM 34.550781 1773829267.8340
MEM 34.550781 1773829267.9344
MEM 34.550781 1773829268.0349
MEM 34.550781 1773829268.1353
MEM 34.550781 1773829268.2357
MEM 34.550781 1773829268.3362
MEM 34.550781 1773829268.4366
MEM 34.550781 1773829268.5370
MEM 34.550781 1773829268.6374
MEM 34.550781 1773829268.7378
MEM 34.550781 1773829268.8382
MEM 34.550781 1773829268.9386
MEM 34.550781 1773829269.0391
MEM 34.550781 1773829269.1395
MEM 34.550781 1773829269.2399
MEM 34.550781 1773829269.3402
MEM 34.550781 1773829269.4407
MEM 34.550781 1773829269.5411
MEM 34.550781 1773829269.6414
MEM 34.550781 1773829269.7418
MEM 34.550781 1773829269.8422
MEM 34.550781 1773829269.9427
MEM 34.550781 1773829270.0431
MEM 34.550781 1773829270.1436
MEM 34.550781 1773829270.2441
MEM 34.550781 1773829270.3446
MEM 34.550781 1773829270.4451
MEM 34.550781 1773829270.5457
MEM 34.550781 1773829270.6461
MEM 34.550781 1773829270.7464
MEM 34.550781 1773829270.8469
MEM 34.550781 1773829270.9473
MEM 34.550781 1773829271.0477
MEM 34.550781 1773829271.1480
MEM 34.550781 1773829271.2484
MEM 34.550781 1773829271.3487
MEM 34.550781 1773829271.4492
MEM 34.550781 1773829271.5495
MEM 34.550781 1773829271.6500
MEM 34.550781 1773829271.7502
MEM 34.550781 1773829271.8505
MEM 34.550781 1773829271.9510
MEM 34.550781 1773829272.0514
MEM 34.550781 1773829272.1518
MEM 34.550781 1773829272.2522
MEM 34.550781 1773829272.3526
